iter	Passed	Remaining
768	24322	7306
769	24358	7275
770	24388	7243
771	24415	7210
772	24455	7181
773	24485	7149
774	24519	7118
775	24553	7087
776	24582	7055
777	24617	7024
778	24649	6992
779	24683	6962
780	24715	6930
781	24748	6899
782	24777	6866
783	24802	6833
784	24838	6802
785	24867	6770
786	24899	6738
787	24931	6707
788	24960	6675
789	24990	6642
790	25020	6610
791	25055	6580
792	25085	6548
793	25115	6516
794	25148	6484
795	25176	6452
796	25205	6419
797	25236	6388
798	25266	6356
799	25300	6325
800	25326	6292
801	25356	6260
802	25389	6228
803	25417	6196
804	25450	6165
805	25482	6133
806	25514	6101
807	25547	6070
808	25586	6040
809	25616	6008
810	25648	5977
811	25676	5944
812	25707	5913
813	25741	5882
814	25772	5850
815	25795	5816
816	25827	5785
817	25860	5753
818	25888	5721
819	25916	5689
820	25950	5657
821	25987	5627
822	26020	5596
823	26055	5565
824	26085	5533
825	26121	5502
826	26151	5470
827	26183	5439
828	26217	5408
829	26249	5376
830	26278	5344
831	26309	5312
832	26342	5281
833	26376	5250
834	26403	5217
835	26431	5185
836	26460	5153
837	26493	5121
838	26521	5089
839	26556	5058
840	26588	5026
841	26620	4995
842	26653	4964
843	26685	4932
844	26715	4900
845	26745	4868
846	26776	4836
847	26806	4804
848	26843	4774
849	26871	4742
850	26902	4710
851	26933	4678
852	26963	4646
853	26994	4614
854	27026	4583
855	27061	4552
856	27099	4521
857	27134	4490
858	27166	4459
859	27195	4427
860	27226	4395
861	27254	4363
862	27289	4332
863	27317	4299
864	27350	4268
865	27388	4237
866	27419	4206
867	27449	4174
868	27480	4142
869	27511	4110
870	27543	4079
871	27570	4047
872	27601	4015
873	27634	3983
874	27663	3951
875	27694	3920
876	27723	3888
877	27753	3856
878	27783	3824
879	27815	3793
880	27844	3761
881	27874	3729
882	27914	3698
883	27967	3669
884	28090	3650
885	28149	3621
886	28188	3591
887	28226	3560
888	28259	3528
889	28296	3497
890	28326	3465
891	28358	3433
892	28387	3401
893	28420	3369
894	28451	3337
895	28485	3306
896	28521	3275
897	28555	3243
898	28593	3212
899	28627	3180
900	28656	3148
901	28684	3116
902	28714	3084
903	28750	3053
904	28781	3021
905	28819	2990
906	28846	2957
907	28879	2926
908	28910	2894
909	28937	2861
910	28968	2830
911	29002	2798
912	29034	2766
913	29065	2734
914	29097	2703
915	29132	2671
916	29160	2639
917	29192	2607
918	29225	2575
919	29252	2543
920	29283	2511
921	29313	2479
922	29343	2447
923	29373	2415
924	29404	2384
925	29434	2352
926	29459	2319
927	29493	2288
928	29525	2256
929	29554	2224
930	29583	2192
931	29617	2160
